problem_id,problem_text,domain,sub_domain,problem_type
Q00658,The town needs better community infrastructure.,Urban Development,Urban Infrastructure,Civic Facility Shortage
Q00681,Wheelchair users cannot easily travel using local buses.,Accessibility,Accessible Transport,Wheelchair Transport Problem
Q00672,Accessible toilets are unavailable in government facilities.,Accessibility,Accessible Buildings,Accessible Toilet Shortage
Q00725,Public services need to become more disability friendly.,Accessibility,Public Services Accessibility,Government Service Accessibility Problem
Q00705,The community lacks proper support services for assistive technology.,Accessibility,Assistive Technology,Assistive Technology Support Problem
Q00024,Students struggle to access educational content due to weak internet service.,Education,Digital Education,Poor Internet Connectivity
Q00352,Existing wells do not provide enough water for households.,Water Management,Groundwater,Groundwater Access Problem
Q00397,The community toilet is dirty and unhygienic.,Sanitation,Toilet Facilities,Poor Public Toilets
Q00064,The village lacks opportunities for job oriented training.,Education,Vocational Training,Vocational Training Shortage
Q00193,Water distribution infrastructure for farms is poorly developed.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00066,There is no proper vocational training centre nearby.,Education,Vocational Training,Training Facility Shortage
Q00515,The village needs electricity connections for uncovered households.,Energy,Electricity Access,Electricity Access Problem
Q00295,Many households cannot access safe water.,Water Management,Drinking Water,Clean Drinking Water Access
Q00138,Emergency healthcare services are inadequate in the area.,Healthcare,Emergency Services,Emergency Service Shortage
Q00634,There are not enough houses for the growing population.,Urban Development,Housing,Housing Shortage
Q00212,Farmers lack access to proper disease management advice.,Agriculture,Crop Management,Crop Disease Management
Q00531,Households receive electricity at very low voltage.,Energy,Power Reliability,Low Voltage Problem
Q00697,Low income families cannot afford necessary disability equipment.,Accessibility,Assistive Technology,Assistive Technology Cost
Q00543,Solar energy facilities are not available in remote areas.,Energy,Renewable Energy,Solar Energy Access
Q00571,Public buildings consume excessive electricity because of inefficient systems.,Energy,Energy Efficiency,Building Energy Wastage
Q00337,Rainwater is wasted because there are no collection systems.,Water Management,Water Conservation,Rainwater Harvesting Problem
Q00632,The area has a shortage of affordable houses.,Urban Development,Housing,Housing Shortage
Q00592,Damaged roads remain unrepaired for months.,Urban Development,Roads,Road Maintenance Problem
Q00674,The building needs accessible sanitation facilities.,Accessibility,Accessible Buildings,Accessible Toilet Shortage
Q00303,Waste is entering the village water source.,Water Management,Water Quality,Water Contamination
Q00406,Village drains are blocked with garbage.,Sanitation,Drainage,Blocked Drainage
Q00550,Solar equipment requires regular maintenance.,Energy,Renewable Energy,Solar Installation Problem
Q00087,Residents lack access to basic medical services locally.,Healthcare,Healthcare Access,Lack of Local Healthcare
Q00488,Local wildlife populations are decreasing.,Environment,Biodiversity,Species Decline
Q00580,Energy saving equipment is not widely available.,Energy,Energy Efficiency,Energy Efficient Equipment Shortage
Q00328,The current distribution system does not reach all households.,Water Management,Water Supply,Water Distribution Problem
Q00606,There is not enough parking space in the market area.,Urban Development,Traffic Management,Parking Problem
Q00121,The health centre frequently runs out of essential medicines.,Healthcare,Medicine Availability,Medicine Shortage
Q00175,Broken irrigation channels are affecting farming activities.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00742,Workers remain unemployed for several months each year.,Rural Livelihood,Employment,Seasonal Employment Problem
Q00169,A damaged canal is preventing water from reaching agricultural fields.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00286,Families in the village do not get enough drinking water.,Water Management,Drinking Water,Drinking Water Shortage
Q00050,Poor access to scholarships is affecting students from low income families.,Education,Student Services,Scholarship Access Problem
Q00097,The healthcare building needs urgent repair.,Healthcare,Medical Infrastructure,Poor Health Facility
Q00156,Farmers are unable to irrigate their crops regularly.,Agriculture,Irrigation,Irrigation Water Shortage
Q00670,Wheelchair users struggle because ramps are unavailable.,Accessibility,Accessible Buildings,Ramp Shortage
Q00495,The community needs better measures to reduce human wildlife conflict.,Environment,Biodiversity,Human Wildlife Conflict
Q00595,Residents need better maintenance of local roads.,Urban Development,Roads,Road Maintenance Problem
Q00806,The village lacks proper infrastructure for local markets.,Rural Livelihood,Rural Infrastructure,Market Infrastructure Problem
Q00034,The school needs more teachers to manage all classes.,Education,Teacher Availability,Teacher Shortage
Q00032,Several teaching positions are vacant in the village school.,Education,Teacher Availability,Teacher Shortage
Q00599,The new road project has not been completed.,Urban Development,Roads,Road Construction Problem
Q00276,Farmers have difficulty reaching reliable markets for their produce.,Agriculture,Agricultural Market,Market Access Problem
Q00330,The village needs a fairer water distribution system.,Water Management,Water Supply,Water Distribution Problem
Q00382,Wastewater is discharged without adequate treatment.,Sanitation,Sewage Management,Sewage Treatment Problem
Q00211,Crop infections are reducing farm production.,Agriculture,Crop Management,Crop Disease Management
Q00433,Poor sanitation practices are common in the community.,Sanitation,Public Cleanliness,Sanitation Awareness Problem
Q00466,Trees are being cut down rapidly in the surrounding forest.,Environment,Deforestation,Forest Loss
Q00073,Vocational courses are not aligned with market requirements.,Education,Vocational Training,Job Oriented Training Problem
Q00078,Basic healthcare is not easily available to residents.,Healthcare,Healthcare Access,Healthcare Access Problem
Q00494,Wildlife is damaging crops in villages near the forest.,Environment,Biodiversity,Human Wildlife Conflict
Q00520,Residents need easier access to electricity connections.,Energy,Electricity Access,New Electricity Connection Problem
Q00351,Families have difficulty accessing groundwater.,Water Management,Groundwater,Groundwater Access Problem
Q00757,The quality of local training programs is poor.,Rural Livelihood,Skill Development,Training Quality Problem
Q00650,Existing infrastructure is insufficient for residents.,Urban Development,Urban Infrastructure,Poor Urban Infrastructure
Q00282,Crops are damaged because there is no suitable storage nearby.,Agriculture,Agricultural Market,Agricultural Storage Problem
Q00528,Residents cannot depend on a continuous electricity supply.,Energy,Power Reliability,Frequent Power Cuts
Q00710,Digital government services need better accessibility.,Accessibility,Digital Accessibility,Inaccessible Websites
Q00635,Residents need access to affordable housing.,Urban Development,Housing,Housing Shortage
Q00362,Residents have to keep waste outside their homes for several days.,Sanitation,Waste Management,Poor Waste Collection
Q00486,Several local animal species are becoming less common.,Environment,Biodiversity,Species Decline
Q00586,The main road in the area is badly damaged.,Urban Development,Roads,Damaged Roads
Q00454,Industrial activities are contaminating nearby water bodies.,Environment,Water Pollution,Industrial Water Pollution
Q00614,Traffic signals need repair and maintenance.,Urban Development,Traffic Management,Traffic Signal Problem
Q00213,Many crops are being damaged by diseases.,Agriculture,Crop Management,Crop Disease Management
Q00746,Residents have difficulty finding jobs near their homes.,Rural Livelihood,Employment,Local Job Access Problem
Q00055,The village needs better transport facilities for school children.,Education,Student Services,Student Transport Problem
Q00761,The skills taught in training programs do not match local job requirements.,Rural Livelihood,Skill Development,Skill Job Mismatch
Q00396,Public toilets are poorly maintained.,Sanitation,Toilet Facilities,Poor Public Toilets
Q00261,Small farmers cannot afford modern farming machinery.,Agriculture,Agricultural Equipment,Expensive Farm Equipment
Q00502,Farmers cannot predict the rainy season reliably.,Environment,Climate Issues,Changing Rainfall Pattern
Q00098,Patients receive treatment in inadequate facilities.,Healthcare,Medical Infrastructure,Poor Health Facility
Q00747,People have to travel far to find employment.,Rural Livelihood,Employment,Local Job Access Problem
Q00077,People in remote areas cannot easily reach medical facilities.,Healthcare,Healthcare Access,Healthcare Access Problem
Q00205,Farmers are facing problems because they choose unsuitable crops.,Agriculture,Crop Management,Crop Selection Problem
Q00609,The town needs organized parking facilities.,Urban Development,Traffic Management,Parking Problem
Q00775,Poor market access is limiting local businesses.,Rural Livelihood,Small Businesses,Small Business Market Access
Q00214,Farmers need expert support to control plant diseases.,Agriculture,Crop Management,Crop Disease Management
Q00666,The public building does not have a wheelchair ramp.,Accessibility,Accessible Buildings,Ramp Shortage
Q00430,The community needs better waste disposal awareness.,Sanitation,Public Cleanliness,Littering Problem
Q00457,Wastewater from houses is polluting the local water source.,Environment,Water Pollution,Sewage Water Pollution
Q00085,The distance to the nearest hospital makes treatment difficult.,Healthcare,Healthcare Access,Long Distance to Healthcare
Q00011,The school lacks basic facilities needed by students.,Education,School Infrastructure,School Facility Shortage
Q00731,People with disabilities do not receive enough assistance at government offices.,Accessibility,Public Services Accessibility,Service Assistance Shortage
Q00111,Patients cannot find specialist doctors in the local hospital.,Healthcare,Doctor Availability,Specialist Doctor Shortage
Q00287,Residents face a shortage of safe water for daily use.,Water Management,Drinking Water,Drinking Water Shortage
Q00667,People with disabilities cannot enter because there is no ramp.,Accessibility,Accessible Buildings,Ramp Shortage
Q00766,Small businesses struggle to obtain affordable loans.,Rural Livelihood,Small Businesses,Small Business Finance Problem
Q00788,There are few programs teaching rural residents how to start businesses.,Rural Livelihood,Self Employment,Entrepreneurship Training Problem
Q00445,Air pollution from industrial units is becoming a serious concern.,Environment,Air Pollution,Industrial Air Pollution
Q00588,Residents are facing problems because of damaged roads.,Urban Development,Roads,Damaged Roads
Q00119,Medical consultations are delayed because doctors are unavailable.,Healthcare,Doctor Availability,Doctor Unavailability
Q00345,Water resources are being wasted due to poor management.,Water Management,Water Conservation,Water Wastage
Q00216,Farmers are getting very low yields from their fields.,Agriculture,Crop Management,Low Crop Productivity
Q00030,The school needs more devices to support digital education.,Education,Digital Education,Digital Learning Equipment Shortage
Q00791,People cannot start small businesses because they lack initial capital.,Rural Livelihood,Self Employment,Self Employment Finance Problem
Q00424,Public places are becoming unhygienic due to poor cleanliness.,Sanitation,Public Cleanliness,Poor Public Cleanliness
Q00245,The nearest soil testing centre is difficult to reach.,Agriculture,Soil Health,Soil Testing Access
Q00301,The water source has become contaminated and unsafe to use.,Water Management,Water Quality,Water Contamination
Q00082,The nearest health centre is too far from the village.,Healthcare,Healthcare Access,Long Distance to Healthcare
Q00771,Small businesses struggle to find customers outside the village.,Rural Livelihood,Small Businesses,Small Business Market Access
Q00307,Residents complain that the water is dirty and unsafe.,Water Management,Water Quality,Poor Water Quality
Q00584,There is little awareness about energy efficient practices.,Energy,Energy Efficiency,Energy Awareness Problem
Q00695,People with disabilities face shortages of assistive devices.,Accessibility,Assistive Technology,Assistive Device Shortage
Q00540,Power interruptions are affecting essential services.,Energy,Power Reliability,Power Supply Interruption
Q00652,There are very few parks and community spaces.,Urban Development,Urban Infrastructure,Public Space Shortage
Q00787,Young people lack entrepreneurship skills.,Rural Livelihood,Self Employment,Entrepreneurship Training Problem
Q00759,Skill courses need better trainers and practical facilities.,Rural Livelihood,Skill Development,Training Quality Problem
Q00200,Local farmers are unsure which crops should be planted.,Agriculture,Crop Management,Crop Selection Problem
Q00600,Residents need better road connectivity.,Urban Development,Roads,Road Construction Problem
Q00527,Power cuts occur several times every day.,Energy,Power Reliability,Frequent Power Cuts
Q00008,Students are studying in an unsafe school building.,Education,School Infrastructure,Poor School Building
Q00714,The website needs better screen reader support.,Accessibility,Digital Accessibility,Screen Reader Accessibility Problem
Q00102,Medical infrastructure is inadequate for the local population.,Healthcare,Medical Infrastructure,Healthcare Infrastructure Problem
Q00329,Several areas are left without water because distribution is poor.,Water Management,Water Supply,Water Distribution Problem
Q00236,Farmers cannot easily get their soil tested.,Agriculture,Soil Health,Soil Testing Access
Q00312,The village lacks a facility to test drinking water.,Water Management,Water Quality,Water Testing Problem
Q00332,Large amounts of water are wasted in the community.,Water Management,Water Conservation,Water Conservation Problem
Q00003,There are not enough rooms available for classes in the village school.,Education,School Infrastructure,Classroom Shortage
Q00617,There are very few buses connecting the area.,Urban Development,Public Transport,Public Transport Shortage
Q00418,Rainwater cannot be safely carried away from the village.,Sanitation,Drainage,Poor Drainage Infrastructure
Q00660,Residents need improved public facilities.,Urban Development,Urban Infrastructure,Civic Facility Shortage
Q00734,Government service centres should provide better support to people with disabilities.,Accessibility,Public Services Accessibility,Service Assistance Shortage
Q00805,Storage facilities are insufficient in the rural area.,Rural Livelihood,Rural Infrastructure,Storage Infrastructure Problem
Q00440,Vehicle emissions are reducing local air quality.,Environment,Air Pollution,Vehicle Pollution
Q00755,Young people need better vocational and technical training.,Rural Livelihood,Skill Development,Skill Training Shortage
Q00518,Some households have not received their requested electricity connection.,Energy,Electricity Access,New Electricity Connection Problem
Q00663,The public building lacks ramps and accessible entrances.,Accessibility,Accessible Buildings,Inaccessible Public Buildings
Q00240,Farmers do not know the nutrient condition of their soil.,Agriculture,Soil Health,Soil Testing Access
Q00446,Construction activities create excessive dust in the area.,Environment,Air Pollution,Dust Pollution
Q00334,There is little awareness about saving water.,Water Management,Water Conservation,Water Conservation Problem
Q00293,People have to travel far to find safe drinking water.,Water Management,Drinking Water,Clean Drinking Water Access
Q00636,Many houses are in poor condition and require repair.,Urban Development,Housing,Poor Housing Condition
Q00080,People have limited access to nearby medical care.,Healthcare,Healthcare Access,Healthcare Access Problem
Q00149,Medical help does not arrive quickly during emergencies.,Healthcare,Emergency Services,Emergency Response Delay
Q00560,There are not enough street lights in residential areas.,Energy,Street Lighting,Street Light Shortage
Q00523,Electricity infrastructure has not reached all households.,Energy,Electricity Access,Rural Electrification Problem
Q00708,People with visual disabilities cannot easily navigate government websites.,Accessibility,Digital Accessibility,Inaccessible Websites
Q00463,Rainwater carries farm chemicals into the village pond.,Environment,Water Pollution,Agricultural Runoff Pollution
Q00426,People frequently throw waste on roads and public places.,Sanitation,Public Cleanliness,Littering Problem
Q00292,Residents depend on unsafe sources for drinking water.,Water Management,Drinking Water,Clean Drinking Water Access
Q00134,Medicine prices are creating financial difficulties for families.,Healthcare,Medicine Availability,High Medicine Cost
Q00468,Illegal tree cutting is reducing forest cover.,Environment,Deforestation,Forest Loss
Q00219,The yield from agricultural fields has decreased significantly.,Agriculture,Crop Management,Low Crop Productivity
Q00581,Residents have limited awareness about saving electricity.,Energy,Energy Efficiency,Energy Awareness Problem
Q00056,Students do not receive enough textbooks and learning materials.,Education,Student Services,Learning Material Shortage
Q00432,People are not sufficiently aware of proper hygiene and sanitation.,Sanitation,Public Cleanliness,Sanitation Awareness Problem
Q00803,Poor storage infrastructure causes losses for rural producers.,Rural Livelihood,Rural Infrastructure,Storage Infrastructure Problem
Q00739,Many residents have to migrate because local jobs are unavailable.,Rural Livelihood,Employment,Rural Employment Shortage
Q00777,Small businesses need mentoring and advisory services.,Rural Livelihood,Small Businesses,Small Business Support Shortage
Q00698,The cost of assistive technology is creating accessibility problems.,Accessibility,Assistive Technology,Assistive Technology Cost
Q00733,Residents need assistance while accessing government services.,Accessibility,Public Services Accessibility,Service Assistance Shortage
Q00300,The village water infrastructure cannot serve all households.,Water Management,Drinking Water,Drinking Water Infrastructure Problem
Q00383,The local sewage system lacks a treatment facility.,Sanitation,Sewage Management,Sewage Treatment Problem
Q00061,Young people in the area do not have enough vocational training opportunities.,Education,Vocational Training,Vocational Training Shortage
Q00582,The community needs education about energy conservation.,Energy,Energy Efficiency,Energy Awareness Problem
Q00381,The village does not have proper sewage treatment facilities.,Sanitation,Sewage Management,Sewage Treatment Problem
Q00197,Farmers need guidance on selecting suitable crops.,Agriculture,Crop Management,Crop Selection Problem
Q00443,Industrial activities are causing poor air quality.,Environment,Air Pollution,Industrial Air Pollution
Q00447,Road dust is affecting residents' health.,Environment,Air Pollution,Dust Pollution
Q00538,The electricity connection stops working regularly.,Energy,Power Reliability,Power Supply Interruption
Q00533,Residents experience weak electricity supply.,Energy,Power Reliability,Low Voltage Problem
Q00255,The condition of the farmland has deteriorated.,Agriculture,Soil Health,Soil Degradation
Q00266,Farm machinery frequently breaks down and is difficult to repair.,Agriculture,Agricultural Equipment,Equipment Maintenance
Q00310,Water quality has deteriorated in the local area.,Water Management,Water Quality,Poor Water Quality
Q00091,The health centre does not have enough medical equipment.,Healthcare,Medical Infrastructure,Medical Equipment Shortage
Q00335,The local area needs a proper water conservation strategy.,Water Management,Water Conservation,Water Conservation Problem
Q00182,Farmers lack a reliable system for supplying water to their fields.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00413,Roads become flooded because water cannot drain properly.,Sanitation,Drainage,Waterlogging
Q00369,Open dumping has become a major problem in the village.,Sanitation,Waste Management,Open Waste Dumping
Q00399,Residents avoid using the public toilet because of poor maintenance.,Sanitation,Toilet Facilities,Poor Public Toilets
Q00159,There is insufficient water for agricultural activities in the village.,Agriculture,Irrigation,Irrigation Water Shortage
Q00070,Training facilities are insufficient for local youth.,Education,Vocational Training,Training Facility Shortage
Q00809,Local vendors need improved market infrastructure.,Rural Livelihood,Rural Infrastructure,Market Infrastructure Problem
Q00132,The cost of medicines is too high for local residents.,Healthcare,Medicine Availability,High Medicine Cost
Q00045,Students are affected by frequent teacher absenteeism.,Education,Teacher Availability,Teacher Absenteeism
Q00071,Existing training programs do not provide skills needed for local jobs.,Education,Vocational Training,Job Oriented Training Problem
Q00629,The area needs better transport connections.,Urban Development,Public Transport,Transport Connectivity Problem
Q00479,Human activities are damaging the forest ecosystem.,Environment,Deforestation,Forest Degradation
Q00317,Residents receive water only on some days.,Water Management,Water Supply,Irregular Water Supply
Q00741,Employment is available only during certain seasons.,Rural Livelihood,Employment,Seasonal Employment Problem
Q00136,The village lacks reliable emergency medical services.,Healthcare,Emergency Services,Emergency Service Shortage
Q00083,Patients travel long distances to receive basic medical treatment.,Healthcare,Healthcare Access,Long Distance to Healthcare
Q00166,The irrigation canal supplying water to farms is damaged.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00165,Crop cultivation is affected due to inadequate water supply.,Agriculture,Irrigation,Irrigation Water Shortage
Q00029,Digital learning equipment is unavailable to many students.,Education,Digital Education,Digital Learning Equipment Shortage
Q00412,Heavy rain causes severe waterlogging in residential areas.,Sanitation,Drainage,Waterlogging
Q00194,Farmers need better infrastructure to access irrigation water.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00327,Water is not distributed equally among village residents.,Water Management,Water Supply,Water Distribution Problem
Q00526,The village experiences frequent electricity outages.,Energy,Power Reliability,Frequent Power Cuts
Q00480,Forest degradation is affecting the local environment.,Environment,Deforestation,Forest Degradation
Q00137,Residents cannot get immediate medical help during emergencies.,Healthcare,Emergency Services,Emergency Service Shortage
Q00421,Public areas in the village are not cleaned regularly.,Sanitation,Public Cleanliness,Poor Public Cleanliness
Q00451,Industrial waste is entering the nearby water source.,Environment,Water Pollution,Industrial Water Pollution
Q00141,An ambulance is often unavailable when patients need urgent transport.,Healthcare,Emergency Services,Ambulance Unavailability
Q00478,The surrounding forest has lost much of its vegetation.,Environment,Deforestation,Forest Degradation
Q00007,The walls and roof of the village school are badly damaged.,Education,School Infrastructure,Poor School Building
Q00530,The local electricity supply is highly unreliable.,Energy,Power Reliability,Frequent Power Cuts
Q00394,Residents have difficulty finding usable toilet facilities.,Sanitation,Toilet Facilities,Toilet Shortage
Q00251,Repeated cultivation is damaging the quality of the soil.,Agriculture,Soil Health,Soil Degradation
Q00074,Training programs do not adequately prepare students for jobs.,Education,Vocational Training,Job Oriented Training Problem
Q00752,The village lacks skill development programs.,Rural Livelihood,Skill Development,Skill Training Shortage
Q00484,Wildlife habitats are shrinking in the area.,Environment,Biodiversity,Wildlife Habitat Loss
Q00378,Residents face sewage overflow during heavy rain.,Sanitation,Sewage Management,Sewage Overflow
Q00146,Emergency medical teams take too long to reach the village.,Healthcare,Emergency Services,Emergency Response Delay
Q00297,Water pipelines are inadequate for household needs.,Water Management,Drinking Water,Drinking Water Infrastructure Problem
Q00235,The quality of agricultural soil has deteriorated.,Agriculture,Soil Health,Soil Fertility Problem
Q00221,Farmers are unable to achieve good production from their land.,Agriculture,Crop Management,Low Crop Productivity
Q00778,The village lacks support centres for entrepreneurs.,Rural Livelihood,Small Businesses,Small Business Support Shortage
Q00437,Traffic emissions are increasing air pollution in the town.,Environment,Air Pollution,Vehicle Pollution
Q00133,Patients struggle to pay for essential medical treatment.,Healthcare,Medicine Availability,High Medicine Cost
Q00507,Residents are struggling with unusually high temperatures.,Environment,Climate Issues,Heat Stress
Q00267,Farmers cannot find nearby services to maintain agricultural equipment.,Agriculture,Agricultural Equipment,Equipment Maintenance
Q00622,Residents wait for long periods because buses are infrequent.,Urban Development,Public Transport,Bus Service Problem
Q00760,Current training programs are not preparing youth effectively for jobs.,Rural Livelihood,Skill Development,Training Quality Problem
Q00474,Trees are being removed without permission.,Environment,Deforestation,Illegal Tree Cutting
Q00042,Students lose classes because teachers are regularly absent.,Education,Teacher Availability,Teacher Absenteeism
Q00500,Extreme weather is damaging crops and infrastructure.,Environment,Climate Issues,Extreme Weather Impact
Q00109,The health facility needs more medical doctors.,Healthcare,Doctor Availability,Doctor Shortage
Q00711,The online service does not work properly with screen readers.,Accessibility,Digital Accessibility,Screen Reader Accessibility Problem
Q00057,The school has a shortage of educational materials.,Education,Student Services,Learning Material Shortage
Q00654,The town needs more public parks and open spaces.,Urban Development,Urban Infrastructure,Public Space Shortage
Q00449,Unpaved roads are creating severe dust pollution.,Environment,Air Pollution,Dust Pollution
Q00576,Public buildings lack energy efficient appliances.,Energy,Energy Efficiency,Energy Efficient Equipment Shortage
Q00025,The school needs a reliable internet connection for digital education.,Education,Digital Education,Poor Internet Connectivity
Q00347,Wells are drying because groundwater is being depleted.,Water Management,Groundwater,Groundwater Depletion
Q00356,The water table has dropped significantly in recent years.,Water Management,Groundwater,Falling Water Table
Q00361,Garbage is not collected regularly from the village.,Sanitation,Waste Management,Poor Waste Collection
Q00052,There is no reliable transport service for students.,Education,Student Services,Student Transport Problem
Q00336,The village does not have proper rainwater harvesting facilities.,Water Management,Water Conservation,Rainwater Harvesting Problem
Q00744,Seasonal work does not provide stable income to families.,Rural Livelihood,Employment,Seasonal Employment Problem
Q00265,Expensive machinery is limiting agricultural productivity.,Agriculture,Agricultural Equipment,Expensive Farm Equipment
Q00363,The local waste collection service is irregular.,Sanitation,Waste Management,Poor Waste Collection
Q00653,Residents lack safe places for recreation.,Urban Development,Urban Infrastructure,Public Space Shortage
Q00339,The community has not adopted rainwater harvesting.,Water Management,Water Conservation,Rainwater Harvesting Problem
Q00546,Existing solar panels are not properly maintained.,Energy,Renewable Energy,Solar Installation Problem
Q00019,Students cannot regularly use computers because the school lacks equipment.,Education,Digital Education,Computer Lab Shortage
Q00590,The local road needs urgent repair.,Urban Development,Roads,Damaged Roads
Q00366,People are dumping household waste in open areas.,Sanitation,Waste Management,Open Waste Dumping
Q00084,People in the village do not have a healthcare facility nearby.,Healthcare,Healthcare Access,Long Distance to Healthcare
Q00062,There are very few practical skill training programs for local youth.,Education,Vocational Training,Vocational Training Shortage
Q00801,Farmers and small producers lack proper storage facilities.,Rural Livelihood,Rural Infrastructure,Storage Infrastructure Problem
Q00723,Government offices lack facilities for people with mobility difficulties.,Accessibility,Public Services Accessibility,Government Service Accessibility Problem
Q00452,Factory discharge is polluting the local river.,Environment,Water Pollution,Industrial Water Pollution
Q00183,There is no proper irrigation network in the farming area.,Agriculture,Irrigation,Poor Irrigation Infrastructure
Q00627,Remote communities have limited transport connectivity.,Urban Development,Public Transport,Transport Connectivity Problem
Q00765,Workers need training that matches current market requirements.,Rural Livelihood,Skill Development,Skill Job Mismatch
Q00224,The productivity of farmland is very low.,Agriculture,Crop Management,Low Crop Productivity
Q00429,Plastic and other waste are being thrown in open areas.,Sanitation,Public Cleanliness,Littering Problem
Q00626,Some residential areas are poorly connected by public transport.,Urban Development,Public Transport,Transport Connectivity Problem
Q00324,Water leaks from damaged pipelines.,Water Management,Water Supply,Water Pipeline Problem
Q00333,Residents need better methods to conserve available water.,Water Management,Water Conservation,Water Conservation Problem
Q00448,Large amounts of dust are present near the village roads.,Environment,Air Pollution,Dust Pollution
Q00498,The community is facing increasing weather-related risks.,Environment,Climate Issues,Extreme Weather Impact
Q00177,The damaged canal is reducing water delivery to farms.,Agriculture,Irrigation,Damaged Irrigation Canal
Q00552,The community needs information about solar and other clean energy options.,Energy,Renewable Energy,Renewable Energy Awareness
Q00368,There is no proper place for disposing of household waste.,Sanitation,Waste Management,Open Waste Dumping
Q00164,Farmers are struggling because their fields do not get enough water.,Agriculture,Irrigation,Irrigation Water Shortage
Q00249,The soil has lost its productive capacity.,Agriculture,Soil Health,Soil Degradation
Q00524,The village needs better rural electrification.,Energy,Electricity Access,Rural Electrification Problem
Q00719,Digital services need a more accessible interface.,Accessibility,Digital Accessibility,Digital Interface Accessibility Problem
Q00075,Local youth need more practical and employment focused training.,Education,Vocational Training,Job Oriented Training Problem
Q00772,Local entrepreneurs have limited access to larger markets.,Rural Livelihood,Small Businesses,Small Business Market Access
Q00410,Residents face problems because drains are frequently blocked.,Sanitation,Drainage,Blocked Drainage
Q00105,The local medical centre requires infrastructure improvement.,Healthcare,Medical Infrastructure,Healthcare Infrastructure Problem
Q00115,Patients need access to specialist doctors locally.,Healthcare,Doctor Availability,Specialist Doctor Shortage
Q00423,The village lacks regular cleaning services.,Sanitation,Public Cleanliness,Poor Public Cleanliness
Q00093,Doctors cannot provide some treatments because equipment is unavailable.,Healthcare,Medical Infrastructure,Medical Equipment Shortage
Q00491,Wild animals frequently enter nearby villages.,Environment,Biodiversity,Human Wildlife Conflict
Q00090,Basic medical services are unavailable in the local area.,Healthcare,Healthcare Access,Lack of Local Healthcare
Q00435,Residents require education about maintaining clean surroundings.,Sanitation,Public Cleanliness,Sanitation Awareness Problem
